primkey,order_id,jcp_line_number,jcp_component_numb,o_status,ship_date,comp_date,sku,lot,back_order,r_quantity,o_quantity,quality_level,match_flag,mono_flag,set_id,color_id,pick_loc,pick_period,pick_pull_time,iip_nbr,hold_flag,dss_flag,alloc_from_task,ticket_type,,,
500425056,2.02311E+13,1,0,DELETE,4/25/23 0:00,,9622061,34,Y,1,1,0,,N,0,0,G2022B1,52,,2.50419E+11,,N,,A,,,
500425095,2.02311E+13,1,0,DELETE,4/24/23 0:00,,1264101,273,Y,1,1,0,,N,0,0,A2910B2,38,,2.50419E+11,,N,,A,,,
500425371,2.02311E+13,3,0,DELETE,4/25/23 0:00,4/25/23 0:00,8941204,34,Y,1,1,0,,N,0,0,E4511C1,41,,2.50419E+11,,N,,A,,,
500425488,2.02311E+13,1,0,DELETE,4/24/23 0:00,4/24/23 0:00,8511742,83,Y,1,1,0,,N,0,0,J2410G3,26,,2.50419E+11,,N,,A,,,
500425596,2.02311E+13,1,0,DELETE,4/24/23 0:00,,7312600,18,Y,3,3,0,,N,0,0,B2605C3,39,,2.50412E+11,,N,,A,,,
500425597,2.02311E+13,1,0,DELETE,4/24/23 0:00,,7312600,18,Y,3,3,0,,N,0,0,B2528F3,39,,2.50412E+11,,N,,A,,,
500426160,2.02311E+13,3,0,DELETE,4/25/23 0:00,4/25/23 0:00,8511742,83,Y,1,1,0,,N,0,0,J2410G3,41,,2.5042E+11,,N,,A,,,
500426184,2.02311E+13,1,0,DELETE,4/24/23 0:00,4/24/23 0:00,2232700,83,Y,1,1,0,,N,0,0,H3905C4,23,,2.5042E+11,,N,,A,,,
500432331,2.02311E+13,1,0,DELETE,4/25/23 0:00,4/25/23 0:00,8511742,83,Y,1,1,0,,N,0,0,J2410G3,41,,2.50425E+11,,N,,A,,,
500435287,2.02311E+13,3,0,DELETE,4/25/23 0:00,4/25/23 0:00,8511742,83,Y,1,1,0,,N,0,0,J2410G3,41,,2.50427E+11,,N,,A,,,
500442456,2.02311E+13,6,0,DELETE,4/24/23 0:00,,3232286,42,Y,1,1,0,,N,0,0,K4513A1,35,,2.50432E+11,,N,,A,,,
500446116,2.02311E+13,2,0,DELETE,4/24/23 0:00,,5780615,265,Y,2,2,0,,N,0,0,G4134D2,36,,2.50434E+11,Y,N,,A,,,
500446172,2.02311E+13,1,0,DELETE,4/24/23 0:00,,672007,83,Y,1,1,0,,N,0,0,F1921F4,35,,2.50434E+11,,N,,A,,,
500447362,2.02311E+13,24,0,DELETE,4/25/23 0:00,4/25/23 0:00,3232286,83,Y,1,1,0,,N,0,0,K4527D2,41,,2.50435E+11,,N,,A,,,
500448472,2.02311E+13,2,0,DELETE,4/24/23 0:00,,5780615,265,Y,1,1,0,,N,0,0,G1436G4,36,,2.50434E+11,Y,N,,A,,,
500453700,2.02311E+13,1,0,DELETE,4/25/23 0:00,4/25/23 0:00,8941204,26,Y,1,1,0,,N,0,0,E4720C2,41,,2.5044E+11,,N,,A,,,
500454468,2.02311E+13,1,0,DELETE,4/24/23 0:00,,5315179,91,Y,1,1,0,,N,0,0,K3427E2,32,,2.5044E+11,,N,,A,,,
500454728,2.02311E+13,1,0,DELETE,4/24/23 0:00,4/24/23 0:00,8421695,75,Y,1,1,0,,N,0,0,D4926A2,25,,2.5044E+11,,N,,A,,,
500454729,2.02311E+13,3,0,DELETE,4/24/23 0:00,4/24/23 0:00,8401244,83,Y,1,1,0,,N,0,0,C3707D2,25,,2.5044E+11,,N,,A,,,
500454730,2.02311E+13,4,0,DELETE,4/24/23 0:00,4/24/23 0:00,7620631,240,Y,1,1,0,,N,0,0,E1519E2,25,,2.5044E+11,,N,,A,,,
500456265,2.02311E+13,2,0,DELETE,4/24/23 0:00,4/24/23 0:00,8941204,34,Y,1,1,0,,N,0,0,E4511C1,29,,2.50441E+11,,N,,A,,,
500457639,2.02311E+13,2,0,DELETE,4/24/23 0:00,,7290660,42,Y,1,1,0,,N,0,0,F3107E3,37,,2.50442E+11,,N,,A,,,
500457863,2.02311E+13,2,0,DELETE,4/25/23 0:00,4/25/23 0:00,8941204,26,Y,1,1,0,,N,0,0,E4720C2,41,,2.50443E+11,,N,,A,,,
