zone_1,zone_2,zone_3,mod_type,top_off,,,
NONCONVEY,,,W93,Y,,,
OVERHANGHV,,,W46,Y,,,
H-DUCKY,,,X24,,,,
RUGS-LG,,,W62,Y,,,
HANGING,,,X72,Y,,,
A-SEASONAL,,,A35,Y,,,
WCONVEY-TR,,,W92,Y,,,
STDCOST0,,,A00,Y,,,
SHOES,,,A18,Y,,,
SHOES,,,A19,Y,,,
HEAVIES,,,W40,Y,,,
RUGS-SH,,,W14,Y,,,
NONCONVEY,,,W40,Y,,,
A-SMALL,,,A06,Y,,,
SOFA,,,W86,Y,,,
RUGS-HV,,,W67,Y,,,
SOFA-HV,,,W83,Y,,,
HEAVIES,,,W96,Y,,,
REGULATED,,,W93,Y,,,
TALL,,,W52,Y,,,
LONGBIN-LG,,,W84,Y,,,
RUGS-SH,,,W17,Y,,,
MISSLE,,,W25,Y,,,
RUGS-MED,,,W61,Y,,,
RUGS-HV,,,W70,Y,,,
LONGBIN-XL,,,W67,Y,,,
D5,,,W35,Y,,,
OVERHANGHV,,,W50,Y,,,
MISSLE,,,W20,Y,,,
HEAVIES,,,W91,Y,,,
HEAVIES,,,W92,Y,,,
HEAVIES,,,W93,Y,,,
TALL,,,W53,Y,,,
TALL,,,W54,Y,,,
HEAVIES,,,W34,Y,,,
D5,,,W40,Y,,,
OVERHANGHV,,,W52,Y,,,
CHROMO,,,A85,Y,,,
LONGBIN-ME,,,W31,Y,,,
MISSLE,,,W23,Y,,,
MISSLE,,,W31,Y,,,
MISSLE,,,W37,Y,,,
LONGBIN-LG,,,W47,Y,,,
RUGS-LG,,,W60,Y,,,
RUGS-MED,,,W62,Y,,,
LONGBIN-LG,,,W61,Y,,,
LONGBIN-LG,,,W62,Y,,,
BLINDS-SH,,,W13,Y,,,
BLINDS-SH,,,W14,Y,,,
BLINDS-SH,,,W17,Y,,,
BLINDS-SH,,,W21,Y,,,
LONGBIN-ME,,,W49,Y,,,
LONGBIN-ME,,,W51,Y,,,
RUGS-HV,,,W63,Y,,,
TOWELS,,,A54,Y,,,
RUGS-HV,,,W65,Y,,,
RUGS-HV,,,W66,Y,,,
RUGS-HV,,,W68,Y,,,
PILLOW,,,W26,Y,,,
PILLOW,,,W28,Y,,,
PILLOW,,,W17,Y,,,
TAILORSHOP,,,A07,Y,,,
WCONVEY-TR,,,W93,Y,,,
WCONVEY-TR,,,W94,Y,,,
WCONVEY-TR,,,W95,Y,,,
CHROMO,,,A35,Y,,,
RUGS-HV,,,W69,Y,,,
SHADESLG,,,W42,Y,,,
RUGS-HV,,,W71,Y,,,
LONGBIN-XL,,,W70,Y,,,
LONGBIN-XL,,,W71,Y,,,
SHADES,,,W22,Y,,,
OVERA,,,W35,Y,,,
OVERB,,,W35,Y,,,
FIXEDA,,,W34,Y,,,
FIXEDB,,,W34,Y,,,
A-BIN,,,A10,Y,,,
SHADESMED,,,W09,Y,,,
SHADESMED,,,W11,Y,,,
SHADESMED,,,W12,Y,,,
SHADES,,,W13,Y,,,
SHADESMED,,,W74,Y,,,
SOFA-HV,,,W48,Y,,,
SOFA-HV,,,W80,Y,,,
SOFA-HV,,,W81,Y,,,
SOFA-HV,,,W82,Y,,,
OVERHANGHV,,,W73,Y,,,
OVERHANGHV,,,W87,Y,,,
OVERHANGHV,,,W75,Y,,,
OVERHANGHV,,,W77,Y,,,
OVERHANGHV,,,W54,Y,,,
OVERHANGHV,,,W53,Y,,,
LONGBIN-LG,,,W41,Y,,,
TALL,,,W55,Y,,,
FACTORY-SH,,,A26,Y,,,
SHOES,,,A37,Y,,,
TOWELS,,,A55,Y,,,
NONCONVEY,,,W97,Y,,,
KITS_W,,,W82,Y,,,
A-SEASONAL,,,A55,Y,,,
KITS_A,,,W93,Y,,,
KITS_A,,,W91,Y,,,
SOFA-HV,,,W86,Y,,,
OVERHANGHV,,,W55,Y,,,
KITS_A,,,W92,Y,,,
SOFA,,,W88,Y,,,
SOFA,,,W89,Y,,,
PILLOW,,,W95,Y,,,
PILLOW,,,W92,Y,,,
PILLOW,,,W93,Y,,,
LONGBIN,,,W50,Y,,,
LONGBIN,,,W51,Y,,,
LONGBIN-ME,,,W50,Y,,,
LONGBIN-LG,,,W60,Y,,,
TOWELS,,,A58,Y,,,
REGULATED,,,W92,Y,,,
RAILS-TR,,,W73,Y,,,
FP NCONVEY,,,W91,Y,,,
