mod_type,description,type,width,length,height,top_off_flag,num_fit,,,
A71,I-BELT TR BX,B,26.5,48,29.5,Y,1,,,
A72,SWING 2 LEVEL,B,32,30,42,Y,2,,,
A73,HNG GAR,B,25,50,25,Y,4,,,
A74,SWING 4 ACROSS,B,25,28,18,Y,4,,,
A76,I-BELT TR,B,17,48,54.5,Y,3,,,
A89,BIN SLEVE,B,33,58,22,Y,1,,,
W04,LONGBIN_S,B,18,36,21,Y,1,,,
W05,DEFAULT,B,1,1,1,,1,,,
W06,DEFAULT,B,1,1,1,,1,,,
W10,REGULATED,B,17,30,11,Y,1,,,
W12,DEFAULT,B,1,1,1,Y,1,,,
W20,DEFAULT_S,B,1,1,1,,0,,,
W18,LONGBINS,B,18,84,21,,1,,,
W55,W-SIDE,B,18,81,11,,0,,,
W62,DEFAULT,B,1,1,1,,0,,,
W74,ET-TIER RACK,B,208,98,205,,1,,,
W75,ET_ZONE HEAVIES,B,52,98,205,,1,,,
W19,LONGBINS_L,B,18,93,21,,1,,,
X07,DEFAULT,B,1,1,1,,0,,,
X10,HG-10INCH,B,10,72,21,,1,,,
X11,HG-DEFAULT,B,25,30,3,,1,,,
X12,REG. DRESS,B,12,62,21,,1,,,
W82,DEFAULT,B,1,1,1,,1,,,
W21,LONGBINS,B,18,99,21,,1,,,
X41,DEFAULT,B,1,1,1,,0,,,
X73,,B,1,1,1,Y,0,,,
X00,DEFAULT,B,1,1,1,,0,,,
W00,DEFAULT,B,1,1,1,,0,,,
T00,DEFAULT,B,1,1,1,Y,0,,,
T10,SUIT PANTS,B,16.5,29.5,11,,2,,,
T13,,B,1,1,1,,0,,,
T15,DEFAULT,B,1,1,1,Y,1,,,
T30,SUITCOATS,B,30,72,21,Y,1,,,
W22,DEFAULT,B,1,1,1,,0,,,
W25,CONVEY,B,24,44,30,,4,,,
W11,SHORT RUGS,B,28,40,18,,1,,,
W13,LONGBIN_S,B,18,52,21,,1,,,
W14,LONGBIN_S,B,18,44,21,,1,,,
W26,CONVEY,B,24,44,26,,4,,,
W27,CONVEY,B,28.5,60,29.5,,3,,,
W28,DEFAULT,B,1,1,1,,1,,,
W29,DEFAULT,B,1,1,1,,1,,,
W32,CONVEY,B,32.5,60,22,,3,,,
W97,DEFAULT,B,10,10,10,,0,,,
W98,DEFAULT,B,10,10,10,,0,,,
W99,DEFAULT,B,10,10,10,,0,,,
A01,AREA 1 OVERHEAD,B,5.5,29,11,,6,,,
A03,A1 SHOE OVERHD,B,5.5,29.5,11,,6,,,
A04,DEFAULT,B,10.8,21,20,,1,,,
A08,SHOE 1/4,B,8.5,41.6,8.5,,4,,,
A09,SHOE 1/2,B,17,29.5,12,,2,,,
A16,PICKBELT,B,35,29,11.5,,1,,,
A17,BIGSHOE MEDIUM,B,14.5,40.5,17.5,,6,,,
A18,BIGSHOE LONG,B,14.5,44,18,,6,,,
A22,PICKBELT,B,60,96,84,,1,,,
