primkey,order_id,o_status,line_count,order_class,c_date,order_date,batch_id,short_flag,tasks,store_nbr,area_flag,work_date,address1,address2,address3,city,state,zip,store_code,file_sequence,rob_flag,,,
2907382,90279639,DELETE,1,SALRTL,4/19/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907383,90279753,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907384,90279993,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907385,90280058,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907386,90280116,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907387,90280181,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907388,90280694,DELETE,1,SALRTL,4/19/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907389,90281353,DELETE,1,SALRTL,4/19/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907390,90281411,DELETE,1,SALRTL,4/19/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907391,90281759,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907392,90281882,DELETE,1,SALRTL,4/19/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907393,90282054,DELETE,1,SALRTL,4/19/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907394,90282112,DELETE,1,SALRTL,4/19/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907395,90282179,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907396,90282237,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907397,90282351,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907398,90282419,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907399,90282476,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907400,90282559,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907401,90282617,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907402,90282674,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907403,90282732,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907404,90282799,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907405,90282856,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907406,90283011,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907407,90283078,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907408,90283136,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907409,90283193,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907410,90283250,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907411,90283318,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907412,90283375,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907413,90283433,DELETE,1,SALRTL,4/20/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907414,90283615,DELETE,1,SALRTL,4/19/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907415,90283854,DELETE,1,SALRTL,4/20/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907416,90284175,DELETE,1,SALRTL,4/19/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907417,90284225,DELETE,1,SALRTL,4/19/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907418,90284282,DELETE,1,SALRTL,4/19/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907419,90284332,DELETE,1,SALRTL,4/19/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907420,90284407,DELETE,1,SALRTL,4/19/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
